word,frequency
0,015,4
0,046,4
0,07,4
0,12,4
0,18,4
0,32,4
0,404,4
0,55,4
0,56,4
0-40-47,4
000000000,4
00028,4
001321.,4
0014,4
0016,4
00204.,4
0022,4
00249,4
0032,4
0039,4
0042,4
0073,4
0081,4
0084,4
0090,4
00911,4
00920,4
00924,4
00925,4
00931,4
00૦,4
01-01-2019,4
01-02-2020,4
01-04-2018,4
01-07-2017,4
01-09-2020,4
01-11-2020,4
01/02/03,4
01/06/1973,4
01/06/1977,4
01/07/2019,4
01/12/2021,4
01001,4
010095.,4
0106,4
0108,4
0109,4
0112,4
0117,4
01229,4
01280,4
0146.,4
0149,4
0150.,4
01509,4
0153,4
0160,4
016096,4
016098,4
0166,4
01689,4
0177,4
0178,4
0189,4
01991,4
01ની,4
02,00,4
02,800,4
02-02-2020,4
02-05-2020,4
02-09-2019,4
02/07/2015,4
02/07/2020,4
02/08/2019,4
02/09/21,4
02/11/2019,4
02/12/20,4
0201,4
02011,4
02013,4
02014,4
02018,4
02045,4
02115,4
0214,4
0218,4
02209,4
02210,4
02247,4
02255,4
02265,4
02266,4
02368,4
02417,4
02430,4
0244,4
02446,4
0246,4
02461,4
02466,4
