word,frequency
.,56865473
છે,38203957
,,26952548
અને,17403732
આ,11266320
કે,9982006
પણ,7905071
માટે,7879294
એક,5992103
કરી,5886317
પર,5781125
તે,5157721
જ,5140532
સાથે,5080217
હતી,5001317
તો,3739413
હતો,3559398
હતા,3251603
નથી,3171250
આવી,3126300
કરવામાં,3081377
હતું,3023032
જે,2944388
હોય,2642376
એ,2637103
દ્વારા,2544779
શકે,2097634
થઈ,2076251
આવે,2065288
વધુ,2009121
માં,1986729
ના,1982850
કરવા,1972871
પરંતુ,1927799
તમે,1846440
રીતે,1820827
જો,1718453
સુધી,1681470
રહી,1679568
ન,1677668
બાદ,1592584
કરે,1588218
કોઈ,1574518
ત્યારે,1568041
પછી,1553963
કહ્યું,1534649
તેના,1526392
થાય,1513081
લોકો,1479141
રહ્યા,1442713
જ્યારે,1422184
કારણે,1400113
સામે,1361101
બે,1360023
હવે,1326639
તેની,1324945
તેને,1291487
?,1264882
નહીં,1262762
થી,1235743
મળી,1235458
કર્યો,1206411
અથવા,1205720
ની,1202328
આજે,1190207
તેઓ,1161621
પોલીસ,1130114
છો,1120036
આવ્યા,1074751
કરતા,1056257
આવ્યો,1051898
આપી,1050693
તેમના,1049555
જેમાં,1045814
કોરોના,1041206
કામ,1040750
જણાવ્યું,1033861
તેમણે,1016821
તથા,1005050
તમારા,1004356
થઇ,994017
કરીને,976878
અન્ય,975834
દરમિયાન,971634
સૌથી,964587
તમામ,963263
પોતાના,961895
શરૂ,961687
ગયા,952206
તરીકે,931712
કરો,925924
વાત,922650
જોવા,913355
રહ્યો,913242
તેમજ,913053
આવશે,870545
પાસે,862241
ને,861902
આવ્યું,856006
વર્ષ,846679
